lemma,translit,gloss
-πω,po,πω another form of the base of -πώς
-πώς,poce,"haply, by any (some) means, perhaps"
Α,al'-fah,Alpha
Αἰγύπτιος,ahee-goop'-tee-os,Egyptian
Αἰθίοψ,ahee-thee'-ops,Ethiopian
Αἰνέας,ahee-neh'-as,Æneas
Αἰνών,ahee-nohn',Ænon
Αἴγυπτος,ah'-ee-goop-tos,Egypt
Αὐγοῦστος,ow'-goos-tos,Augustus
Βάαλ,bah'-al,Baal
Βέροια,ber'-oy-ah,Berea
Βαβυλών,bab-oo-lone',Babylon
Βαλάκ,bal-ak',Balac
Βαλαάμ,bal-ah-am',Balaam
Βαπτιστής,bap-tis-tace',Baptist
Βαράκ,bar-ak',Barak
Βαραββᾶς,bar-ab-bas',Barabbas
Βαραχίας,bar-akh-ee'-as,Barachias
Βαρθολομαῖος,bar-thol-om-ah'-yos,Bartholomeus
Βαριησοῦς,bar-ee-ay-sooce',Barjesus
Βαριωνᾶς,bar-ee-oo-nas',Bar-jona
Βαρνάβας,bar-nab'-as,Barnabas
Βαρσαβᾶς,bar-sab-as',Barsabas
Βαρτιμαῖος,bar-tim-ah'-yos,Bartimæus
Βεελζεβούλ,beh-el-zeb-ool',Beelzebub
Βελίαλ,bel-ee'-al,Belial
Βενιαμίν,ben-ee-am-een',Benjamin
Βερνίκη,ber-nee'-kay,Bernice
Βεροιαῖος,ber-oy-ah'-yos,of Berea
Βηθαβαρά,bay-thab-ar-ah',Bethabara
Βηθανία,bay-than-ee'-ah,Bethany
Βηθεσδά,bay-thes-dah',Bethesda
Βηθλεέμ,bayth-leh-em',Bethlehem
Βηθσαϊδά,bayth-sahee-dah',Bethsaida
Βηθφαγή,bayth-fag-ay',Bethphage
Βιθυνία,bee-thoo-nee'-ah,Bithynia
Βλάστος,blas'-tos,Blastus
Βοανεργές,bo-an-erg-es',Boanerges
Βοσόρ,bos-or',Bosor
Βοόζ,bo-oz',Booz
Γάδ,gad,Gad
Γάζα,gad'-zah,Gaza
Γάϊος,gah'-ee-os,Gaius
Γαβριήλ,gab-ree-ale',Gabriel
Γαδαρηνός,gad-ar-ay-nos',Gadarene
Γαλάτης,gal-at'-ace,Galatian
Γαλατία,gal-at-ee'-ah,Galatia
Γαλατικός,gal-at-ee-kos',of Galatia
Γαλιλαία,gal-il-ah'-yah,Galilee
Γαλιλαῖος,gal-ee-lah'-yos,"Galilean, of Galilee"
Γαλλίων,gal-lee'-own,Gallio
Γαμαλιήλ,gam-al-ee-ale',Gamaliel
Γεδεών,ghed-eh-own',Gedeon (in the King James Version)
Γεθσημανῆ,gheth-say-man-ay',Gethsemane
Γεννησαρέτ,ghen-nay-sar-et',Gennesaret
Γεργεσηνός,gher-ghes-ay-nos',Gergesene
Γολγοθᾶ,gol-goth-ah',Golgotha
Γόμοῤῥα,gom'-or-hrhah,Gomorrha
Γώγ,gogue,Gog
Δάμαρις,dam'-ar-is,Damaris
Δέρβη,der-bay',Derbe
Δίδυμος,did'-oo-mos,Didymus
Δαβίδ,dab-eed',David
Δαλμανουθά,dal-man-oo-thah',Dalmanutha
Δαλματία,dal-mat-ee'-ah,Dalmatia
Δαμασκηνός,dam-as-kay-nos',Damascene
Δαμασκός,dam-as-kos',Damascus
Δανιήλ,dan-ee-ale',Daniel
Δεκάπολις,dek-ap'-ol-is,Decapolis
Δερβαῖος,der-bah'-ee-os,of Derbe
Δημήτριος,day-may'-tree-os,Demetrius
Δημᾶς,day-mas',Demas
Διονύσιος,dee-on-oo'-see-os,Dionysius
Διοτρεφής,dee-ot-ref-ace',Diotrephes
Διόσκουροι,dee-os'-koo-roy,Castor and Pollux
Δορκάς,dor-kas',Dorcas
Δρούσιλλα,droo'-sil-lah,Drusilla
Εὐνίκη,yoo-nee'-kay,Eunice
Εὐοδία,yoo-od-ee'-ah,Euodias
Εὐροκλύδων,yoo-rok-loo'-dohn,Euroklydon
Εὐφράτης,yoo-frat'-ace,Euphrates
Εὔβουλος,yoo'-boo-los,Eubulus
Εὔτυχος,yoo'-too-khos,Eutychus
Εὖα,yoo'-ah,Eve
Ζαβουλών,dzab-oo-lone',Zabulon
Ζακχαῖος,dzak-chah'-ee-yos,Zacchæus
Ζαρά,dzar-ah',Zara
