strong,lemma,translit,gloss
H1,אָב,awb,"chief, (fore-)father(-less), X patrimony, principal"
H2,אַב,ab,father
H3,אֵב,abe,"greenness, fruit"
H4,אּנְבָּא,abe,fruit
H5,אֲבַגְתָא,ab-ag-thaw',Abagtha
H6,אָבַד,aw-bad',"break, destroy(- uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee"
H7,אֲבַד,ab-ad',"destroy, perish"
H8,אֹבֵד,o-bade',perish
H9,אֲבֵדָה,ab-ay-daw',lost
H10,אֲבַדֹּה,ab-ad-do',destruction
H11,אֲבַדּוֹן,ab-ad-done',destruction
H12,אַבְדָן,ab-dawn',destruction
H13,אָבְדַן,ob-dawn',destruction
H14,אָבָה,aw-baw',"consent, rest content will, be willing"
H15,אָבִי,aw-beh',desire
H16,אֵ֫בֶה,ay-beh',swift
H17,אֲבוֹי,ab-o'ee,sorrow
H18,אֲבוּס,ay-booce',crib
H19,אּבְחַת,ib-khaw',point
H20,אֲבַטִּחִים,ab-at-tee'-akh,melon
H21,אֲבִי,ab-ee',Abi
H22,אֲבִיאֵל,ab-ee-ale',Abiel
H23,אֲבִיאָסָף,ab-ee-aw-sawf',Abiasaph
H24,אָבִיב,aw-beeb',"Abib, ear, green ears of corn (not maize)"
H25,אֲבִי גִּבְעוֹן,ab-ee' ghib-one',father of Gibeon
H26,אֲבִיגַ֫יִל,ab-ee-gah'-yil,Abigal
H27,אֲבִידָן,ab-ee-dawn',Abidan
H28,אֲבִידָע,ab-ee-daw',"Abida, Abidah"
H29,אֲבִיָּה,ab-ee-yaw',"Abiah, Abijah"
H30,אֲבִיהוּא,ab-ee-hoo',Abihu
H31,אֲבִיהוּד,ab-ee-hood',Abihud
H32,אֲבִיהַ֫יִל,ab-ee-hah'-yil,Abihail
H33,אֲבִי הָעֶזְרִי,ab-ee'-haw-ez-ree',father of the Ezrite
H34,אֶבְיוֹן,eb-yone',"beggar, needy, poor (man)"
H35,אֲבִיּוֹנָה,ab-ee-yo-naw',desire
H36,אֲבִיטוּב,ab-ee-toob',Abitub
H37,אֲבִיטָל,ab-ee-tal',Abital
H38,אֲבִיָּם,ab-ee-yawm',Abijam
H39,אֲבִימָאֵל,ab-ee-maw-ale',Abimael
H40,אֲבִימֶ֫לֶך,ab-ee-mel'-ek,Abimelech
H41,אֲבִינָדָב,ab-ee-naw-dawb',Abinadab
H42,אֲבִינֹ֫עַם,ab-ee-no'-am,Abinoam
H43,אֶבְיָסָף,eb-yaw-sawf',Ebiasaph
H44,אֲבִיעֵ֫זֶר,ab-ee-ay'-zer,Abiezer
H45,אֲבִי־עַלְבוֹן,ab-ee-al-bone',Abialbon
H46,אֲבִיר,aw-beer',mighty (one)
H47,אַבִּיר,ab-beer',"--angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant"
H48,אֲבִירָם,ab-ee-rawm',Abiram
H49,אֲבִישַׁג,ab-ee-shag',Abishag
H50,אֲבִישׁ֫וּעַ,ab-ee-shoo'-ah,Abishua
H51,אֲבִישׁוּר,ab-ee-shoor',Abishur
H52,אֲבִישַׁי,ab-ee-shah'ee,Abishai
H53,אֲבִישָׁלוֹם,ab-ee-shaw-lome',"Abishalom, Absalom"
H54,אֶבְיָתָר,ab-yaw-thawr',Abiathar
H55,אָבַך,aw-bak',mount up
H56,אָבַל,aw-bal',"lament, mourn"
H57,אָבֵל,aw-bale',"mourn(-er, -ing)"
H58,אָבֵל,aw-bale',plain
H59,אָבֵל,aw-bale',Abel
H60,אֵ֫בֶל,ay'-bel,mourning
H61,אֲבָל,ab-awl',"but, indeed, nevertheless, verily"
H62,אָבֵל בֵּית־מַעֲכָה,aw-bale' bayth ma-a-kaw',meadow of Beth-Maakah
H63,אָבֵל הַשִּׁטִּים,aw-bale' hash-shit-teem',Abel-shittim
